<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
GAZP	60	20201008	000000	168.2100000	168.2900000	168.1100000	168.2300000	239.180
GAZP	60	20201008	110000	168.1800000	168.8600000	167.5700000	167.6900000	5.345.530
GAZP	60	20201008	120000	167.6900000	168.2500000	167.6000000	167.8500000	2.799.020
GAZP	60	20201008	130000	167.8600000	168.2000000	167.6200000	167.9600000	1.804.410
GAZP	60	20201008	140000	167.9800000	168.1300000	167.6000000	167.7100000	2.647.690
GAZP	60	20201008	150000	167.7100000	167.9100000	167.0500000	167.1200000	4.435.180
GAZP	60	20201008	160000	167.1200000	167.7700000	167.0700000	167.5500000	2.607.950
GAZP	60	20201008	170000	167.5500000	167.5500000	166.4000000	166.6500000	5.833.390
GAZP	60	20201008	180000	166.6700000	167.1700000	166.1500000	166.8100000	4.280.820
GAZP	60	20201008	190000	166.8100000	167.0000000	166.4000000	167.0000000	4.342.530
GAZP	60	20201008	200000	166.6300000	167.4900000	166.6000000	167.2400000	1.078.060
GAZP	60	20201008	210000	167.2400000	167.4500000	167.1000000	167.2500000	386.480
GAZP	60	20201008	220000	167.2100000	167.6800000	167.2000000	167.6000000	390.820
GAZP	60	20201008	230000	167.6200000	167.6700000	167.2100000	167.4800000	465.180
GAZP	60	20201009	000000	167.4800000	167.5400000	167.3700000	167.4300000	204.290
GAZP	60	20201009	110000	167.8000000	167.9000000	166.3100000	166.6300000	7.961.520
GAZP	60	20201009	120000	166.6300000	166.9000000	165.7700000	166.4100000	5.743.230
GAZP	60	20201009	130000	166.4100000	167.5800000	166.3300000	167.2900000	5.666.550
GAZP	60	20201009	140000	167.2900000	167.6300000	167.1100000	167.3800000	1.821.440
GAZP	60	20201009	150000	167.3800000	168.1300000	167.1600000	167.8600000	3.487.850
GAZP	60	20201009	160000	167.8700000	168.1100000	167.6700000	167.8500000	3.991.490
GAZP	60	20201009	170000	167.8500000	168.1900000	167.5200000	167.8300000	4.732.270
GAZP	60	20201009	180000	167.8300000	167.8500000	167.0200000	167.3300000	3.729.250
GAZP	60	20201009	190000	167.3100000	167.3200000	167.0500000	167.0700000	2.528.340
GAZP	60	20201009	200000	167.1000000	167.4400000	166.8400000	167.1200000	701.640
GAZP	60	20201009	210000	167.1000000	167.3000000	166.9000000	167.0900000	295.260
GAZP	60	20201009	220000	167.0900000	167.1800000	167.0100000	167.1800000	130.690
GAZP	60	20201009	230000	167.1500000	167.1800000	166.9900000	167.0000000	332.240
GAZP	60	20201010	000000	167.0000000	167.0500000	166.8500000	166.9700000	393.140
GAZP	60	20201012	110000	167.6600000	168.1800000	166.8700000	168.1300000	5.175.410
GAZP	60	20201012	120000	168.1100000	169.3500000	168.0000000	169.0400000	12.550.980
